filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version,npot_resized
0003a157.img,ad19bcee5657b3bc0055f5e3d0b5431977acdbf6,c3fd2a543b498b66bfcf07ba8ac4b03a31aa4c59,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_03f17ff9395846ea5bf936552c3b988a,5389da2c30305e6b7b6e595620efe394a94ed98f,ab26652bfa62f1333534a6405bb8eddd9ff31448,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_072734442395aa77b4dc73a300e14635,a08be4b149f95965fabc915097010497e30f775c,73f12ddd3c9e60bb183e21b1a111233bba2cf04f,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_079c21f87c2396e85d5f7c82637e7352,18ac4a8461e014f5b87ba4ce2f5a358fe5e48a25,d767386c90290513dc5ae104fd2775e6623ca6d6,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_185cf90c2eaa2eef3aeb870ec4834671,bbece4eaec1e3a8f47a2aa29d09fdaecfb89a7ac,191e5b49779f2e47fcf3ec4b935d05aa563dd4af,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_1ba470027dacd7c10adf661610dc04e1,e34cdb6f612d612e164067a2ddba43fda4f11a25,93d4f76c0946eca94b9f6b256a272ceb46535e53,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_1ece3f27cf607206241327a91b57c89d,e38d69e1f1bba3e514b0a402a2a2e7055ca568cb,c877dd5dc830ac8c06934a11fd32de8cad362d65,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_2be35633bee586cebc75a438f0e6e4e2,f493418340dbf37d89c8e053a28b787cd455144c,c081ad18a9d852cb92181316f8e58cf5c9caa7c6,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_3175e6874d78a2e57eb432e68c004751,8f373e2b5a21a433b05c6fc2bfabad656ed9aa40,63517ec043a2dd6a3c00a959e6fc8f78d0ae80a9,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_335003ac512d622e8ff81548074823df,15643b48880abbf058fad6933d46d219fd2f58a9,d418f5d6990043c3e901095492ff6472bbdc9ee8,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_40340683d6a287e2af39d3760e2162ee,f290d2dc25ec22cca386ddfbf4081ac5d42394b0,359266841e9252201666851980ead5408f97e607,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_42c8b0bc2f3455093d90a25729ed91b4,7772b4e27e592afbb2373db5c40d5f77ba27e0d3,b7b6a323b4b1cefe6de1ce8043251c81d9b06094,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_4344dd0f107c82e1ab241f4f84165e45,563fcfd92acf3a5b4d1aba8ce3a670e62bdf5bd6,8fcc044972b85e6d31f0a3e06e984dd62aecd85b,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_4b9c199f7524b4531a399cdcae08fec1,00f3d17ea550547abfbf3cf8b0b9fb4ef53afa8c,e7d33c0343232f7266e88ea945bf9d733d1f9e36,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_4ca343a31ddc4dfa5528cda5ec7f111b,5eaf569cefe9ba5c99ea300222cf413ef47c6dbc,42e034a7c52ee990933055322c0ab2cc17174009,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_4f9b6c4f12bbb06f5abff743fcd1085c,4ecdfdd74e0ae73d4ae3d0ee383acd4eead84fef,1fb7bdd6f34e5f01b5c0a62ab80dc017ee91ef9a,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_5667dcc8ac21297c981a8ec40fbe8c19,1131fac61bf06e9b20759a312287b4eebf0d2047,8ef320b75ea49ebec0f85d984b585468359d4906,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_56df4e5f35dee2941e00cbdcacd04fd1,d8e0020a845ceed01f123971505713ebc8b47ca6,883c69c4f3eb5ee896f8f5965cd765d962114d13,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_5aab7ee976ca7144ad954ec48d7f93a4,66d6748c264270805802633295127a08a946db0f,e32cd738e8c4dcb3cf7ef44d258157a0f4eba72e,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_68d061fb998272c35600430d51659598,222c8a329e6a6d5805460fb8192016aa4f006782,ada37ce8bbfd4982e8265ce2cb4e930846f98835,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_70d31f246558c4f580b0374defb6bdb2,c94f82712ea2ecb1c845a44d32c6ac07645f10f7,0b3cf20b6967e4c9c6e05bae15b4cedab00a14af,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_7f44ac4b5710b0a4e618d21d87b63de1,90d7f852114adf3303e9a0af1be87a6ce78570ef,9423449cbbaa78a3fc39fbec1814456b099a9989,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_89fb46309dec3e73cf0af435d75612bc,2aa4fa9c2aa0ce1bdd1e5404d8cd1c5ac74a8945,6563e71a904305b88749fc7666831391ad5b6e05,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_8a1bf389847c5277575f65a87d707776,5a2053d3f059d42b03648cb74ddc4faaba6e59b7,9aaeb4e8f29c579d7fb8656f6cf02617e7b262ed,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_8ce501972e9b7908be5585cdfc2be0a4,66315701d7ed1281fb0990405539e2ddc2bffbd8,2e5817c6b8a03adafdd653b97d5bf1615db0e19c,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_8e47400085fdb32a4b0d7074929174f7,b7782df583014f2020c2cdf4e5f70181446f2ed9,3d8889ad857f85c1bb0f496128016546ab73d7a3,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_938598d4a616f43eebbcf7870bb3a641,9ac6aa825e23552aec187862d39867983b2aa346,35d55e7106562d43ba72773fa16af43bc7220027,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_b5f0a7ccc931259672c395e02daf5c4a,0917f5b24231fe168bef30708e789bd202e968ae,2b16acff55bcf596c8342090bf5f7de0c9ee7505,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
0003a157.img_b8e21cf55f0d808db1b31817da1b8d12,12dd76bdd9ce2c2a46bc56dbdb8ec1d6b4a050e6,60d59cbd9dc276952f0aa4f6ddb52edb7dc7bab9,true,ps2 textures\opaque\bp_remade,true,true,5,remarci_4x_extra_smooth,false,0,false
